prompt,question,short_answer,question_type,story_index,qa_prompt,comp_prompt
Neila found a bag in the attic. The label on the bag says plate. Neila couldn’t see what was inside the bag. Neila opened the bag and found a vest. There is no plate in the bag. Neila closed the bag and put it back. Juanita entered the attic and saw the bag.,"After Juanita opened the bag, what would Juanita expect to find in the bag?",plate,1stB,1,"Answer the question based on context:

Context:Neila found a bag in the attic. The label on the bag says plate. Neila couldn’t see what was inside the bag. Neila opened the bag and found a vest. There is no plate in the bag. Neila closed the bag and put it back. Juanita entered the attic and saw the bag.
Question:
After Juanita opened the bag, what would Juanita expect to find in the bag?","Complete the following paragraph:
Neila found a bag in the attic. The label on the bag says plate. Neila couldn’t see what was inside the bag. Neila opened the bag and found a vest. There is no plate in the bag. Neila closed the bag and put it back. Juanita entered the attic and saw the bag. After Juanita opened the bag, Juanita would expect to find"
Neila found a bag in the attic. The label on the bag says plate. Neila couldn’t see what was inside the bag. Neila opened the bag and found a vest. There is no plate in the bag. Neila closed the bag and put it back. Juanita entered the attic and saw the bag.,"After Juanita opened the bag, what would Neila think Juanita would expect to find in the bag?",plate,2ndA,1,"Answer the question based on context:

Context:Neila found a bag in the attic. The label on the bag says plate. Neila couldn’t see what was inside the bag. Neila opened the bag and found a vest. There is no plate in the bag. Neila closed the bag and put it back. Juanita entered the attic and saw the bag.
Question:
After Juanita opened the bag, what would Neila think Juanita would expect to find in the bag?","Complete the following paragraph:
Neila found a bag in the attic. The label on the bag says plate. Neila couldn’t see what was inside the bag. Neila opened the bag and found a vest. There is no plate in the bag. Neila closed the bag and put it back. Juanita entered the attic and saw the bag. After Juanita opened the bag, Neila would think Juanita would expect to find"
Neila found a bag in the attic. The label on the bag says plate. Neila couldn’t see what was inside the bag. Neila opened the bag and found a vest. There is no plate in the bag. Neila closed the bag and put it back. Juanita entered the attic and saw the bag.,"After Juanita opened the bag, what would Juanita think Neila would expect to find in the bag?",plate,2ndB,1,"Answer the question based on context:

Context:Neila found a bag in the attic. The label on the bag says plate. Neila couldn’t see what was inside the bag. Neila opened the bag and found a vest. There is no plate in the bag. Neila closed the bag and put it back. Juanita entered the attic and saw the bag.
Question:
After Juanita opened the bag, what would Juanita think Neila would expect to find in the bag?","Complete the following paragraph:
Neila found a bag in the attic. The label on the bag says plate. Neila couldn’t see what was inside the bag. Neila opened the bag and found a vest. There is no plate in the bag. Neila closed the bag and put it back. Juanita entered the attic and saw the bag. After Juanita opened the bag, Juanita would think Neila would expect to find"
Sabra found a backpack in the bedroom. The label on the backpack says fork. Sabra couldn’t see what was inside the backpack. Sabra opened the backpack and found a pepper. There is no fork in the backpack. Sabra closed the backpack and put it back. Hillary entered the bedroom and saw the backpack.,"After Hillary opened the backpack, what would Hillary expect to find in the backpack?",fork,1stB,2,"Answer the question based on context:

Context:Sabra found a backpack in the bedroom. The label on the backpack says fork. Sabra couldn’t see what was inside the backpack. Sabra opened the backpack and found a pepper. There is no fork in the backpack. Sabra closed the backpack and put it back. Hillary entered the bedroom and saw the backpack.
Question:
After Hillary opened the backpack, what would Hillary expect to find in the backpack?","Complete the following paragraph:
Sabra found a backpack in the bedroom. The label on the backpack says fork. Sabra couldn’t see what was inside the backpack. Sabra opened the backpack and found a pepper. There is no fork in the backpack. Sabra closed the backpack and put it back. Hillary entered the bedroom and saw the backpack. After Hillary opened the backpack, Hillary would expect to find"
Sabra found a backpack in the bedroom. The label on the backpack says fork. Sabra couldn’t see what was inside the backpack. Sabra opened the backpack and found a pepper. There is no fork in the backpack. Sabra closed the backpack and put it back. Hillary entered the bedroom and saw the backpack.,"After Hillary opened the backpack, what would Sabra think Hillary would expect to find in the backpack?",fork,2ndA,2,"Answer the question based on context:

Context:Sabra found a backpack in the bedroom. The label on the backpack says fork. Sabra couldn’t see what was inside the backpack. Sabra opened the backpack and found a pepper. There is no fork in the backpack. Sabra closed the backpack and put it back. Hillary entered the bedroom and saw the backpack.
Question:
After Hillary opened the backpack, what would Sabra think Hillary would expect to find in the backpack?","Complete the following paragraph:
Sabra found a backpack in the bedroom. The label on the backpack says fork. Sabra couldn’t see what was inside the backpack. Sabra opened the backpack and found a pepper. There is no fork in the backpack. Sabra closed the backpack and put it back. Hillary entered the bedroom and saw the backpack. After Hillary opened the backpack, Sabra would think Hillary would expect to find"
Sabra found a backpack in the bedroom. The label on the backpack says fork. Sabra couldn’t see what was inside the backpack. Sabra opened the backpack and found a pepper. There is no fork in the backpack. Sabra closed the backpack and put it back. Hillary entered the bedroom and saw the backpack.,"After Hillary opened the backpack, what would Hillary think Sabra would expect to find in the backpack?",fork,2ndB,2,"Answer the question based on context:

Context:Sabra found a backpack in the bedroom. The label on the backpack says fork. Sabra couldn’t see what was inside the backpack. Sabra opened the backpack and found a pepper. There is no fork in the backpack. Sabra closed the backpack and put it back. Hillary entered the bedroom and saw the backpack.
Question:
After Hillary opened the backpack, what would Hillary think Sabra would expect to find in the backpack?","Complete the following paragraph:
Sabra found a backpack in the bedroom. The label on the backpack says fork. Sabra couldn’t see what was inside the backpack. Sabra opened the backpack and found a pepper. There is no fork in the backpack. Sabra closed the backpack and put it back. Hillary entered the bedroom and saw the backpack. After Hillary opened the backpack, Hillary would think Sabra would expect to find"
Cassandre found a bin in the study. The label on the bin says hoodie. Cassandre couldn’t see what was inside the bin. Cassandre opened the bin and found a skirt. There is no hoodie in the bin. Cassandre closed the bin and put it back. Norina entered the study and saw the bin.,"After Norina opened the bin, what would Norina expect to find in the bin?",hoodie,1stB,3,"Answer the question based on context:

Context:Cassandre found a bin in the study. The label on the bin says hoodie. Cassandre couldn’t see what was inside the bin. Cassandre opened the bin and found a skirt. There is no hoodie in the bin. Cassandre closed the bin and put it back. Norina entered the study and saw the bin.
Question:
After Norina opened the bin, what would Norina expect to find in the bin?","Complete the following paragraph:
Cassandre found a bin in the study. The label on the bin says hoodie. Cassandre couldn’t see what was inside the bin. Cassandre opened the bin and found a skirt. There is no hoodie in the bin. Cassandre closed the bin and put it back. Norina entered the study and saw the bin. After Norina opened the bin, Norina would expect to find"
Cassandre found a bin in the study. The label on the bin says hoodie. Cassandre couldn’t see what was inside the bin. Cassandre opened the bin and found a skirt. There is no hoodie in the bin. Cassandre closed the bin and put it back. Norina entered the study and saw the bin.,"After Norina opened the bin, what would Cassandre think Norina would expect to find in the bin?",hoodie,2ndA,3,"Answer the question based on context:

Context:Cassandre found a bin in the study. The label on the bin says hoodie. Cassandre couldn’t see what was inside the bin. Cassandre opened the bin and found a skirt. There is no hoodie in the bin. Cassandre closed the bin and put it back. Norina entered the study and saw the bin.
Question:
After Norina opened the bin, what would Cassandre think Norina would expect to find in the bin?","Complete the following paragraph:
Cassandre found a bin in the study. The label on the bin says hoodie. Cassandre couldn’t see what was inside the bin. Cassandre opened the bin and found a skirt. There is no hoodie in the bin. Cassandre closed the bin and put it back. Norina entered the study and saw the bin. After Norina opened the bin, Cassandre would think Norina would expect to find"
Cassandre found a bin in the study. The label on the bin says hoodie. Cassandre couldn’t see what was inside the bin. Cassandre opened the bin and found a skirt. There is no hoodie in the bin. Cassandre closed the bin and put it back. Norina entered the study and saw the bin.,"After Norina opened the bin, what would Norina think Cassandre would expect to find in the bin?",hoodie,2ndB,3,"Answer the question based on context:

Context:Cassandre found a bin in the study. The label on the bin says hoodie. Cassandre couldn’t see what was inside the bin. Cassandre opened the bin and found a skirt. There is no hoodie in the bin. Cassandre closed the bin and put it back. Norina entered the study and saw the bin.
Question:
After Norina opened the bin, what would Norina think Cassandre would expect to find in the bin?","Complete the following paragraph:
Cassandre found a bin in the study. The label on the bin says hoodie. Cassandre couldn’t see what was inside the bin. Cassandre opened the bin and found a skirt. There is no hoodie in the bin. Cassandre closed the bin and put it back. Norina entered the study and saw the bin. After Norina opened the bin, Norina would think Cassandre would expect to find"
Clio found a box in the garage. The label on the box says key. Clio couldn’t see what was inside the box. Clio opened the box and found a plate. There is no key in the box. Clio closed the box and put it back. Daphene entered the garage and saw the box.,"After Daphene opened the box, what would Daphene expect to find in the box?",key,1stB,4,"Answer the question based on context:

Context:Clio found a box in the garage. The label on the box says key. Clio couldn’t see what was inside the box. Clio opened the box and found a plate. There is no key in the box. Clio closed the box and put it back. Daphene entered the garage and saw the box.
Question:
After Daphene opened the box, what would Daphene expect to find in the box?","Complete the following paragraph:
Clio found a box in the garage. The label on the box says key. Clio couldn’t see what was inside the box. Clio opened the box and found a plate. There is no key in the box. Clio closed the box and put it back. Daphene entered the garage and saw the box. After Daphene opened the box, Daphene would expect to find"
