prompt,question,short_answer,question_type,story_index,qa_prompt,comp_prompt
Neila and Juanita were hanging out in the attic. They saw a bag and a pantry. They found a plate in the bag. Juanita left the attic. Neila moved the plate to the pantry.,"After Juanita came back to the attic, where would Juanita look for the plate?",bag,1stB,1,"Answer the question based on context:

Context:Neila and Juanita were hanging out in the attic. They saw a bag and a pantry. They found a plate in the bag. Juanita left the attic. Neila moved the plate to the pantry.
Question:
After Juanita came back to the attic, where would Juanita look for the plate?","Complete the following paragraph:
Neila and Juanita were hanging out in the attic. They saw a bag and a pantry. They found a plate in the bag. Juanita left the attic. Neila moved the plate to the pantry. After Juanita came back to the attic, Juanita would look for the plate in"
Neila and Juanita were hanging out in the attic. They saw a bag and a pantry. They found a plate in the bag. Juanita left the attic. Neila moved the plate to the pantry.,"After Juanita came back to the attic, where would Neila think Juanita would look for the plate?",bag,2ndA,1,"Answer the question based on context:

Context:Neila and Juanita were hanging out in the attic. They saw a bag and a pantry. They found a plate in the bag. Juanita left the attic. Neila moved the plate to the pantry.
Question:
After Juanita came back to the attic, where would Neila think Juanita would look for the plate?","Complete the following paragraph:
Neila and Juanita were hanging out in the attic. They saw a bag and a pantry. They found a plate in the bag. Juanita left the attic. Neila moved the plate to the pantry. After Juanita came back to the attic, Neila would think Juanita would look for the plate in"
Neila and Juanita were hanging out in the attic. They saw a bag and a pantry. They found a plate in the bag. Juanita left the attic. Neila moved the plate to the pantry.,"After Juanita came back to the attic, where would Juanita think Neila would look for the plate?",bag,2ndB,1,"Answer the question based on context:

Context:Neila and Juanita were hanging out in the attic. They saw a bag and a pantry. They found a plate in the bag. Juanita left the attic. Neila moved the plate to the pantry.
Question:
After Juanita came back to the attic, where would Juanita think Neila would look for the plate?","Complete the following paragraph:
Neila and Juanita were hanging out in the attic. They saw a bag and a pantry. They found a plate in the bag. Juanita left the attic. Neila moved the plate to the pantry. After Juanita came back to the attic, Juanita would think Neila would look for the plate in"
Sabra and Hillary were hanging out in the bedroom. They saw a hamper and a refrigerator. They found a fork in the hamper. Hillary left the bedroom. Sabra moved the fork to the refrigerator.,"After Hillary came back to the bedroom, where would Hillary look for the fork?",hamper,1stB,2,"Answer the question based on context:

Context:Sabra and Hillary were hanging out in the bedroom. They saw a hamper and a refrigerator. They found a fork in the hamper. Hillary left the bedroom. Sabra moved the fork to the refrigerator.
Question:
After Hillary came back to the bedroom, where would Hillary look for the fork?","Complete the following paragraph:
Sabra and Hillary were hanging out in the bedroom. They saw a hamper and a refrigerator. They found a fork in the hamper. Hillary left the bedroom. Sabra moved the fork to the refrigerator. After Hillary came back to the bedroom, Hillary would look for the fork in"
Sabra and Hillary were hanging out in the bedroom. They saw a hamper and a refrigerator. They found a fork in the hamper. Hillary left the bedroom. Sabra moved the fork to the refrigerator.,"After Hillary came back to the bedroom, where would Sabra think Hillary would look for the fork?",hamper,2ndA,2,"Answer the question based on context:

Context:Sabra and Hillary were hanging out in the bedroom. They saw a hamper and a refrigerator. They found a fork in the hamper. Hillary left the bedroom. Sabra moved the fork to the refrigerator.
Question:
After Hillary came back to the bedroom, where would Sabra think Hillary would look for the fork?","Complete the following paragraph:
Sabra and Hillary were hanging out in the bedroom. They saw a hamper and a refrigerator. They found a fork in the hamper. Hillary left the bedroom. Sabra moved the fork to the refrigerator. After Hillary came back to the bedroom, Sabra would think Hillary would look for the fork in"
Sabra and Hillary were hanging out in the bedroom. They saw a hamper and a refrigerator. They found a fork in the hamper. Hillary left the bedroom. Sabra moved the fork to the refrigerator.,"After Hillary came back to the bedroom, where would Hillary think Sabra would look for the fork?",hamper,2ndB,2,"Answer the question based on context:

Context:Sabra and Hillary were hanging out in the bedroom. They saw a hamper and a refrigerator. They found a fork in the hamper. Hillary left the bedroom. Sabra moved the fork to the refrigerator.
Question:
After Hillary came back to the bedroom, where would Hillary think Sabra would look for the fork?","Complete the following paragraph:
Sabra and Hillary were hanging out in the bedroom. They saw a hamper and a refrigerator. They found a fork in the hamper. Hillary left the bedroom. Sabra moved the fork to the refrigerator. After Hillary came back to the bedroom, Hillary would think Sabra would look for the fork in"
Cassandre and Norina were hanging out in the study. They saw a carryall and a hamper. They found a hoodie in the carryall. Norina left the study. Cassandre moved the hoodie to the hamper.,"After Norina came back to the study, where would Norina look for the hoodie?",carryall,1stB,3,"Answer the question based on context:

Context:Cassandre and Norina were hanging out in the study. They saw a carryall and a hamper. They found a hoodie in the carryall. Norina left the study. Cassandre moved the hoodie to the hamper.
Question:
After Norina came back to the study, where would Norina look for the hoodie?","Complete the following paragraph:
Cassandre and Norina were hanging out in the study. They saw a carryall and a hamper. They found a hoodie in the carryall. Norina left the study. Cassandre moved the hoodie to the hamper. After Norina came back to the study, Norina would look for the hoodie in"
Cassandre and Norina were hanging out in the study. They saw a carryall and a hamper. They found a hoodie in the carryall. Norina left the study. Cassandre moved the hoodie to the hamper.,"After Norina came back to the study, where would Cassandre think Norina would look for the hoodie?",carryall,2ndA,3,"Answer the question based on context:

Context:Cassandre and Norina were hanging out in the study. They saw a carryall and a hamper. They found a hoodie in the carryall. Norina left the study. Cassandre moved the hoodie to the hamper.
Question:
After Norina came back to the study, where would Cassandre think Norina would look for the hoodie?","Complete the following paragraph:
Cassandre and Norina were hanging out in the study. They saw a carryall and a hamper. They found a hoodie in the carryall. Norina left the study. Cassandre moved the hoodie to the hamper. After Norina came back to the study, Cassandre would think Norina would look for the hoodie in"
Cassandre and Norina were hanging out in the study. They saw a carryall and a hamper. They found a hoodie in the carryall. Norina left the study. Cassandre moved the hoodie to the hamper.,"After Norina came back to the study, where would Norina think Cassandre would look for the hoodie?",carryall,2ndB,3,"Answer the question based on context:

Context:Cassandre and Norina were hanging out in the study. They saw a carryall and a hamper. They found a hoodie in the carryall. Norina left the study. Cassandre moved the hoodie to the hamper.
Question:
After Norina came back to the study, where would Norina think Cassandre would look for the hoodie?","Complete the following paragraph:
Cassandre and Norina were hanging out in the study. They saw a carryall and a hamper. They found a hoodie in the carryall. Norina left the study. Cassandre moved the hoodie to the hamper. After Norina came back to the study, Norina would think Cassandre would look for the hoodie in"
Clio and Daphene were hanging out in the garage. They saw a pantry and a safe. They found a key in the pantry. Daphene left the garage. Clio moved the key to the safe.,"After Daphene came back to the garage, where would Daphene look for the key?",pantry,1stB,4,"Answer the question based on context:

Context:Clio and Daphene were hanging out in the garage. They saw a pantry and a safe. They found a key in the pantry. Daphene left the garage. Clio moved the key to the safe.
Question:
After Daphene came back to the garage, where would Daphene look for the key?","Complete the following paragraph:
Clio and Daphene were hanging out in the garage. They saw a pantry and a safe. They found a key in the pantry. Daphene left the garage. Clio moved the key to the safe. After Daphene came back to the garage, Daphene would look for the key in"
Clio and Daphene were hanging out in the garage. They saw a pantry and a safe. They found a key in the pantry. Daphene left the garage. Clio moved the key to the safe.,"After Daphene came back to the garage, where would Clio think Daphene would look for the key?",pantry,2ndA,4,"Answer the question based on context:

Context:Clio and Daphene were hanging out in the garage. They saw a pantry and a safe. They found a key in the pantry. Daphene left the garage. Clio moved the key to the safe.
Question:
After Daphene came back to the garage, where would Clio think Daphene would look for the key?","Complete the following paragraph:
Clio and Daphene were hanging out in the garage. They saw a pantry and a safe. They found a key in the pantry. Daphene left the garage. Clio moved the key to the safe. After Daphene came back to the garage, Clio would think Daphene would look for the key in"
